t,right_ankle_joint
3.067500,0.599783064
3.070000,0.599790956
3.072500,0.599797926
3.075000,0.599803985
3.077500,0.599809143
3.080000,0.599813410
3.082500,0.599816794
3.085000,0.599819304
3.087500,0.599820947
3.090000,0.599821729
3.092500,0.599821657
3.095000,0.599820735
3.097500,0.599818969
3.100000,0.599816363
3.102500,0.599812919
3.105000,0.599808641
3.107500,0.599803531
3.110000,0.599462757
3.112500,0.599454056
3.115000,0.600000000
3.117500,0.599868178
3.120000,0.599441816
3.122500,0.599831148
3.125000,0.600000000
3.127500,0.600000000
3.130000,0.600000000
3.132500,0.599335042
3.135000,0.599469449
3.137500,0.599540591
3.140000,0.599551591
3.142500,0.599503564
3.145000,0.599397042
3.147500,0.599232399
3.150000,0.599143933
3.152500,0.598965816
3.155000,0.598759443
3.157500,0.598601335
3.160000,0.598388484
3.162500,0.598112627
