t,right_knee_joint
2.592500,-0.909882332
2.595000,-0.913771805
2.597500,-0.917658879
2.600000,-0.921540402
2.602500,-0.925413287
2.605000,-0.929274514
2.607500,-0.933121130
2.610000,-0.936950249
2.612500,-0.940759053
2.615000,-0.944544788
2.617500,-0.948304767
2.620000,-0.952036371
2.622500,-0.955737044
2.625000,-0.959404296
2.627500,-0.963035702
2.630000,-0.966628902
2.632500,-0.970181598
2.635000,-0.973691557
2.637500,-0.977156609
2.640000,-0.980913542
2.642500,-0.984615747
2.645000,-0.988254686
2.647500,-0.991829440
2.650000,-0.995338379
2.652500,-0.998779860
2.655000,-1.002152299
2.657500,-1.005518934
2.660000,-1.008692990
2.662500,-1.011907557
2.665000,-1.014931122
2.667500,-1.017996234
2.670000,-1.020747156
2.672500,-1.023579473
2.675000,-1.026352564
2.677500,-1.029047373
2.680000,-1.031660605
2.682500,-1.034190984
2.685000,-1.036637518
2.687500,-1.038999292
2.690000,-1.041275436
2.692500,-1.043465124
2.695000,-1.045567570
2.697500,-1.047582032
2.700000,-1.049507805
2.702500,-1.051344223
2.705000,-1.053090658
2.707500,-1.054746522
2.710000,-1.056311259
2.712500,-1.057784351
2.715000,-1.059165316
2.717500,-1.060453704
2.720000,-1.061649100
2.722500,-1.062751122
2.725000,-1.063759420
2.727500,-1.064587275
2.730000,-1.065416046
2.732500,-1.066154247
2.735000,-1.066798531
2.737500,-1.067347996
2.740000,-1.067802318
2.742500,-1.068006493
2.745000,-1.068187718
2.747500,-1.068456427
2.750000,-1.068539610
2.752500,-1.068539610
2.755000,-1.068539610
2.757500,-1.068314217
2.760000,-1.068106484
2.762500,-1.067752024
2.765000,-1.067291549
2.767500,-1.066469439
2.770000,-1.065782268
2.772500,-1.064985956
2.775000,-1.064073301
2.777500,-1.063070444
2.780000,-1.062074592
2.782500,-1.060922048
2.785000,-1.059667637
2.787500,-1.058326735
2.790000,-1.056902436
2.792500,-1.055395679
2.795000,-1.053569946
2.797500,-1.052055176
2.800000,-1.050080195
2.802500,-1.048180809
2.805000,-1.046215573
2.807500,-1.044174317
2.810000,-1.042056921
2.812500,-1.039864072
2.815000,-1.037596563
2.817500,-1.035255238
2.820000,-1.032840997
2.822500,-1.030354787
2.825000,-1.027797609
2.827500,-1.025170517
2.830000,-1.022474617
2.832500,-1.019711071
2.835000,-1.016881095
2.837500,-1.013985963
2.840000,-1.011027004
2.842500,-1.008005606
2.845000,-1.004923216
2.847500,-1.001781340
2.850000,-0.998581544
2.852500,-0.995325457
2.855000,-0.992014768
2.857500,-0.988651230
2.860000,-0.985236660
2.862500,-0.981772940
2.865000,-0.978262015
2.867500,-0.974705898
2.870000,-0.971106670
2.872500,-0.967466476
2.875000,-0.963787532
2.877500,-0.960072122
2.880000,-0.956322600
2.882500,-0.952541389
2.885000,-0.948730982
2.887500,-0.944678409
2.890000,-0.940988199
2.892500,-0.936903290
2.895000,-0.932967387
2.897500,-0.929022990
2.900000,-0.925067511
