t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.887500,0.214608687,-0.000018365,-0.000052487,-0.771592450,0.470040640
0.890000,0.210559294,-0.000019215,-0.000055080,-0.769650907,0.468591286
0.892500,0.206519479,-0.000020054,-0.000057659,-0.767670305,0.467124992
0.895000,0.202491254,-0.000020881,-0.000060222,-0.765652516,0.465642710
0.897500,0.198476652,-0.000021696,-0.000062770,-0.763599483,0.464145410
0.900000,0.194477720,-0.000022498,-0.000065300,-0.761513210,0.462634087
0.902500,0.190496522,-0.000023287,-0.000067812,-0.759395768,0.461109755
0.905000,0.186535137,-0.000024062,-0.000070304,-0.757249289,0.459573455
0.907500,0.182595656,-0.000024823,-0.000072775,-0.755075964,0.458026250
0.910000,0.178680182,-0.000025571,-0.000075225,-0.752878043,0.456469229
0.912500,0.174790827,-0.000026304,-0.000077652,-0.750657830,0.454903506
0.915000,0.170929712,-0.000027022,-0.000080055,-0.748417685,0.453330219
0.917500,0.167098967,-0.000027725,-0.000082432,-0.746160015,0.451750536
0.920000,0.163300723,-0.000028413,-0.000084783,-0.743887277,0.450165649
0.922500,0.159537118,-0.000029086,-0.000087107,-0.741601973,0.448576777
